message_id;username;channel_name;replied_from;replied_from_name;message_text;lviews;posted_timestamp;edited_timestamp;activity_date;edit_counter;len_diff;emotional;is_ad;hashtags
20810;fontankaspb;Фонтанка.ру;;;?В Петербурге рекордно выросла госпитализация с ковидом: как на пике летней волны;;2022-01-26 13:42:51.000;;2022-01-26 13:46:44.000;;;Neutral;1;
4336;Mos_stroi;Москвастрой;;;"Правила выбора УК изменятся

Госдума одобрила в первом чтении  соответствующий законопроект. 

Теперь для выбора новой УК и способа управления многоквартирным домом потребуется большее количество голосов собственников квартир.

Согласно действующим правилам, для смены управляющей компании необходимо, чтобы это решение поддержали более 50% собственников помещений, присутствующих на общем собрании. При этом общее собрание признается правомочным, если в нем приняли участие 50%  собственников. Исходя из этого, для смены управляющей компании достаточно четверти голосов владельцев помещений (25% + 1 голос). При такой системе собственники квартир нередко делятся на группы, каждая из которых поддерживает свою управляющую компанию.

В ст. 44 и 46 Жилищного кодекса предложено внести поправки, согласно которым число голосов собственников, необходимое для выбора новой УК и способа управления многоквартирным домом, будет увеличено до 50% + 1 голос. Это позволит исключить потенциальные конфликты жильцов, так как для принятия решения большинство собственников должны будут достичь согласия. Кроме того, это затруднит фальсификации протоколов общих собраний и подкуп.

По словам зампредседателя комитета Госдумы по строительству и ЖКХ Светланы Разворотневой, в отдельных регионах уже развернулась война собственников, а управляющие компании ведут борьбу за привлекательные дома. Постоянные конфликты и регулярные смены УК препятствуют стабильному управлению домом. Благодаря поправкам владельцам квартир нужно будет договариваться и большинством голосов принимать решение о смене управляющей компании.
  
Ко второму чтению законопроект будет доработан.

@mos_stroi";;2022-01-26 13:36:27.000;;2022-01-26 13:36:31.000;;;Negative;1;
1747;real_estate;Realty & Finance;;;No caption image;;2022-01-26 13:28:23.000;;2022-01-26 13:28:25.000;;;Neutral;0;
323;Julyanna_max;;moscowach;Москвач;??В стране выявлено 74.692 случая коронавируса.;;2022-01-26 13:28:06.000;;2022-01-26 13:28:06.000;;;Neutral;0;
2781;zarbitrazhy;РИА Новости: дела арбитражные;;;"? Российская «дочка» Warner Music через суд запретила Первому каналу использовать три песни Ильи Резника – «Маэстро», «Старый друг» и «Кабриолет»

Кроме того, арбитражный суд Москвы за незаконное, в отсутствие договора с правообладателем, использование двух первых песен в передаче «Голос. Дети» взыскал с телеканала 1 млн руб, а за бездоговорное использование третьей в передаче «Сегодня вечером» – 500 тыс руб.
Истец «С.Б.А. Мьюзик Паблишинг» по договору с Резником владеет правами на песни в части текста. Он уже судился с Первым каналом из-за этих же хитов. В 2018 г. суды взыскали с ответчика 800 тыс руб. Но в тех исках «дочка» Warner Music не заявляла требования о запрете дальнейшего использования произведений.

Американская Warner Music Group наряду с Universal Music, Sony Music и EMI составляет так называемую ""большую четверку"" звукозаписывающих компаний, на долю которых приходится до 80% издания музыкальных произведений.
А40-133286/2021 А40-133295/2021";;2022-01-26 13:28:03.000;;2022-01-26 13:28:05.000;;;Negative;0;
2781;zarbitrazhy;РИА Новости: дела арбитражные;;;"? Российская «дочка» Warner Music через суд запретила Первому каналу использовать три песни Ильи Резника – «Маэстро», «Старый друг» и «Кабриолет»

Кроме того, арбитражный суд Москвы за незаконное, в отсутствие договора с правообладателем, использование двух первых песен в передаче «Голос. Дети» взыскал с телеканала 1 млн руб, а за бездоговорное использование третьей в передаче «Сегодня вечером» – 500 тыс руб.

Истец «С.Б.А. Мьюзик Паблишинг» по договору с Резником владеет правами на песни в части текста. Он уже судился с Первым каналом из-за этих же хитов. В 2018 г. суды взыскали с ответчика 800 тыс руб. Но в тех исках «дочка» Warner Music не заявляла требования о запрете дальнейшего использования произведений.

Американская Warner Music Group наряду с Universal Music, Sony Music и EMI составляет так называемую ""большую четверку"" звукозаписывающих компаний, на долю которых приходится до 80% издания музыкальных произведений.
А40-133286/2021 А40-133295/2021";;2022-01-26 13:28:03.000;2022-01-26 13:28:18.000;2022-01-26 13:28:21.000;1;1;Negative;0;
1746;real_estate;Realty & Finance;telega_adv_bot;Telega ?? Notifications;No caption image;;2022-01-26 13:26:59.000;;2022-01-26 13:26:59.000;;;Neutral;0;
11440;kompr;Компромат 2.0 :: Мы решаем, что является компроматом;ruarbitr;Арбитр.;"ПАО «ВНИПИгаздобыча»  и «Авинем инвестмент лимитед» требуют более 895 млн. рублей с 
ПАО «Газпром», Владимира Варагина и Алексея Бурданова, которые значатся топ-менеджерами ПАО «ВНИПИгаздобыча».

«Авинем инвестмент лимитед» является миноритарным акционером ряда дочек «Газпрома», за компанией могут стоять менеджеры газовой монополии.

В настоящее время офшор «Авинем инвестмент лимитед» развязал корпоративную войну против «Газпрома», он оспаривает в судах различные корпоративные решения, предполагаем, что в данном деле, речь идет о взыскании компенсации убытков с руководства дочерней структуры «Газпрома» и непосредственно с самой корпорации.
@ruarbitr";;2022-01-26 13:23:48.000;;2022-01-26 13:23:51.000;;;Negative;1;
5239;ruarbitr;Арбитр.;;;"Елена Ефимова, сестра вице-мэра Москвы Владимира Ефимова продала долю в своей компании «Иберег», которая занимается управлением недвижимым имуществом.

Покупателем доли выступил Гуршумов Яшар Захид Оглы, похожий на номинального владельца, у него также есть статус ИП (зарегистрирован в Пятигорске).

В октябре прошлого года Елена Ефимова зарегистрировала фирму «Шерп», она также сдает в аренду недвижимость, которая предположительно располагается по адресу ее регистрации: г.Москва, Мичуринский пр-кт, д. 26.

Также Елене Ефимовой принадлежала доля в 
ООО «Коммерческая недвижимость столицы», эта компания была контрагентом Фонда капитального ремонта многоквартирных домов, сейчас ООО оформлено на предполагаемого родственника руководителя Департамента инвестиционной и промышленной политики г.Москвы Александра Прохорова.

За Еленой Ефимовой значится доля в ООО «ЕОС Консалт» (занимается эксплуатацией жилого фонда), через ряд структур эта фирма связана с владельцем «Capital Group» Павлом Тё.
@ruarbitr";;2022-01-26 13:23:31.000;;2022-01-26 13:23:32.000;;;Neutral;1;
20809;fontankaspb;Фонтанка.ру;;;"В Алтайском крае следователи возбудили еще одно уголовное дело после инцидента с пятилетним мальчиком, которого родители выставили голым на мороз. К ответственности планируют привлечь органы профилактики.

По данным следствия, должностные лица ПДН и КДН знали о том, что мать и ее сожитель периодически издеваются над своими сыновьями (у мальчика, попавшего на видео, есть братья в возрасте шести и полутора лет), но ничего не предпринимали.

Родителей задержали накануне. Расследование продолжается.
 
@fontankaspb";;2022-01-26 13:22:15.000;;2022-01-26 13:22:16.000;;;Negative;1;
